TRIP ID,START TIME,STOP TIME,BIKE ID,TRIP DURATION,FROM STATION ID,FROM STATION NAME,TO STATION ID,TO STATION NAME,USER TYPE,GENDER,BIRTH YEAR,FROM LATITUDE,FROM LONGITUDE,FROM LOCATION,TO LATITUDE,TO LONGITUDE,TO LOCATION
25962904,12/31/2019 11:57:17 PM,12/31/2019 11:59:18 PM,5930,120,256,Broadway & Sheridan Rd,240,Sheridan Rd & Irving Park Rd,Subscriber,Male,1982,41.952833,-87.649993,POINT (-87.649993 41.952833),41.954245,-87.654406,POINT (-87.654406 41.954245)
25962903,12/31/2019 11:57:11 PM,01/01/2020 12:05:45 AM,2637,514,623,Michigan Ave & 8th St,52,Michigan Ave & Lake St,Subscriber,Female,1970,41.872773,-87.623981,POINT (-87.623981 41.872773),41.886024,-87.624117,POINT (-87.624117 41.886024)
25962902,12/31/2019 11:57:05 PM,01/01/2020 12:05:46 AM,863,520,623,Michigan Ave & 8th St,52,Michigan Ave & Lake St,Subscriber,Male,1967,41.872773,-87.623981,POINT (-87.623981 41.872773),41.886024,-87.624117,POINT (-87.624117 41.886024)
25962901,12/31/2019 11:56:34 PM,01/01/2020 12:22:08 AM,4877,1533,90,Millennium Park,90,Millennium Park,Subscriber,Male,1992,41.8810317,-87.62408432,POINT (-87.62408432 41.8810317),41.8810317,-87.62408432,POINT (-87.62408432 41.8810317)
25962900,12/31/2019 11:56:13 PM,01/01/2020 12:15:45 AM,2196,1172,112,Green St & Randolph St,225,Halsted St & Dickens Ave,Subscriber,Male,1981,41.883668,-87.64867,POINT (-87.64867 41.883668),41.919936,-87.64883,POINT (-87.64883 41.919936)
25962899,12/31/2019 11:54:54 PM,01/01/2020 12:22:02 AM,5996,1628,145,Mies van der Rohe Way & Chestnut St,25,Michigan Ave & Pearson St,Subscriber,Male,1992,41.898586651,-87.621915226,POINT (-87.6219152258 41.8985866514),41.89766,-87.62351,POINT (-87.62351 41.89766)
25962898,12/31/2019 11:54:38 PM,01/01/2020 12:04:38 AM,606,599,455,Maplewood Ave & Peterson Ave,467,Western Ave & Lunt Ave,Subscriber,Male,1986,41.990236029,-87.69336964,POINT (-87.6933696402 41.99023602867),42.008594397,-87.690492239,POINT (-87.6904922389 42.0085943972)
25962897,12/31/2019 11:51:19 PM,12/31/2019 11:55:33 PM,5654,254,638,Clinton St & Jackson Blvd,134,Peoria St & Jackson Blvd,Subscriber,Male,1997,41.87811603,-87.639838457,POINT (-87.639838457108 41.878116030105),41.877641596,-87.649617791,POINT (-87.649617791176 41.877641596275)
25962896,12/31/2019 11:50:19 PM,12/31/2019 11:55:37 PM,4561,318,255,Indiana Ave & Roosevelt Rd,3,Shedd Aquarium,Subscriber,Male,1990,41.867888,-87.623041,POINT (-87.623041 41.867888),41.867225957,-87.61535539,POINT (-87.6153553902 41.86722595682)
25962895,12/31/2019 11:50:05 PM,12/31/2019 11:53:33 PM,1720,208,624,Dearborn St & Van Buren St,81,Daley Center Plaza,Subscriber,Female,1990,41.876268,-87.629155,POINT (-87.629155 41.876268),41.884241,-87.629634,POINT (-87.629634 41.884241)
25962890,12/31/2019 11:46:19 PM,12/31/2019 11:53:51 PM,41,451,641,Central Park Ave & Bloomingdale Ave,259,California Ave & Francis Pl (Temp),Subscriber,Male,1966,41.914166,-87.716755,POINT (-87.716755 41.914166),41.918491154,-87.697422802,POINT (-87.697422802448 41.918491153687)
25962889,12/31/2019 11:45:35 PM,12/31/2019 11:48:17 PM,2076,161,140,Dearborn Pkwy & Delaware Pl,161,Rush St & Superior St,Subscriber,Male,1994,41.898969,-87.629912,POINT (-87.629912 41.898969),41.895764746,-87.625908033,POINT (-87.6259080327 41.89576474564)
25962888,12/31/2019 11:44:59 PM,12/31/2019 11:50:34 PM,6053,335,144,Larrabee St & Webster Ave,289,Wells St & Concord Ln,Subscriber,Male,1989,41.921822,-87.64414,POINT (-87.64414 41.921822),41.912133,-87.634656,POINT (-87.634656 41.912133)
25962887,12/31/2019 11:43:41 PM,01/01/2020 12:56:43 AM,73,4381,289,Wells St & Concord Ln,289,Wells St & Concord Ln,Subscriber,Female,1996,41.912133,-87.634656,POINT (-87.634656 41.912133),41.912133,-87.634656,POINT (-87.634656 41.912133)
25962886,12/31/2019 11:42:41 PM,01/01/2020 12:39:20 AM,3701,3398,232,Pine Grove Ave & Waveland Ave,232,Pine Grove Ave & Waveland Ave,Subscriber,Male,1977,41.949275,-87.646303,POINT (-87.646303 41.949275),41.949275,-87.646303,POINT (-87.646303 41.949275)
25962885,12/31/2019 11:42:11 PM,01/01/2020 12:24:21 AM,389,2530,145,Mies van der Rohe Way & Chestnut St,26,McClurg Ct & Illinois St,Subscriber,Female,1979,41.898586651,-87.621915226,POINT (-87.6219152258 41.8985866514),41.890359,-87.617532,POINT (-87.617532 41.890359)
25962882,12/31/2019 11:41:49 PM,01/01/2020 12:28:39 AM,269,2809,394,Clark St & 9th St (AMLI),394,Clark St & 9th St (AMLI),Subscriber,Female,1974,41.870816,-87.631246,POINT (-87.631246 41.870816),41.870816,-87.631246,POINT (-87.631246 41.870816)
25962881,12/31/2019 11:41:31 PM,12/31/2019 11:50:18 PM,6025,527,159,Claremont Ave & Hirsch St,20,Sheffield Ave & Kingsbury St,Subscriber,Male,1989,41.907781,-87.685854,POINT (-87.685854 41.907781),41.910522,-87.653106,POINT (-87.653106 41.910522)
25962880,12/31/2019 11:40:08 PM,12/31/2019 11:48:46 PM,6330,517,241,Morgan St & Polk St,15,Racine Ave & 18th St,Subscriber,Male,1994,41.871737,-87.65103,POINT (-87.65103 41.871737),41.858166,-87.656495,POINT (-87.656495 41.858166)
