nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Jumlah Kendaraan Bermotor";"Tidak Ada";1949;Tahun;17626;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1949;Tahun;2756;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1949;Tahun;15949;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1949;Tahun;4584;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1949;Tahun;40915;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";1950;Tahun;22164;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1950;Tahun;5870;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1950;Tahun;17629;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1950;Tahun;5546;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1950;Tahun;51209;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";1951;Tahun;31046;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1951;Tahun;7643;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1951;Tahun;21649;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1951;Tahun;7663;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1951;Tahun;68001;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";1952;Tahun;39435;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1952;Tahun;8474;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1952;Tahun;27085;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1952;Tahun;16468;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1952;Tahun;91462;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";1953;Tahun;41026;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1953;Tahun;8644;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1953;Tahun;27767;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1953;Tahun;21082;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1953;Tahun;98519;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";1954;Tahun;59606;"Mobil Penumpang"
